id	mittente	destinatario	luogo_mittente
407	Manzoni, Alessandro	Vieusseux, Giovan Pietro	Milano
408	Manzoni, Alessandro	Manzoni, Vittoria	Milano
409	Manzoni, Alessandro	Montgrand, Jean-Baptiste-Jacques-Guy-Therese, marquis de	Milano
410	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
411	Manzoni, Alessandro	Leopoldo II	Milano
412	Manzoni, Alessandro	Balbo, Prospero	Milano
413	Manzoni, Alessandro	Bonuccelli, Angelo	Milano
414	Manzoni, Alessandro	Fauriel, Claude	Milano
415	Manzoni, Alessandro	Manera, Francesco	Brusuglio
416	Manzoni, Alessandro	Manzoni, Vittoria	
417	Manzoni, Alessandro	Saluzzo Roero, Diodata	Brusuglio
418	Manzoni, Alessandro	Fauriel, Claude	Brusuglio
419	Manzoni, Alessandro	Becchi, Fruttuoso	Brusuglio
420	Manzoni, Alessandro	Tommaseo, Niccolò	Brusuglio
421	Manzoni, Alessandro	Mellerio, Giacomo	Brusuglio
422	Manzoni, Alessandro	Manzoni, Vittoria	Brusuglio
423	Manzoni, Alessandro	Montgrand, Jean-Baptiste-Jacques-Guy-Therese, marquis de	Brusuglio
424	Manzoni, Alessandro	Cantù, Cesare	Brusuglio
425	Manzoni, Alessandro	Sismondi, Jean Charles Léonard Simonde de	Brusuglio
426	Manzoni, Alessandro	Cattaneo, Gaetano	Brusuglio
427	Manzoni, Alessandro	Cattaneo, Gaetano	Brusuglio
428	Manzoni, Alessandro	Cousin, Victor	Brusuglio
429	Manzoni, Alessandro	Mellerio, Giacomo	Brusuglio
430	Manzoni, Alessandro	Ghianda, Giovanni	Brusuglio
431	Manzoni, Alessandro	Rosmini, Antonio	
432	Manzoni, Alessandro	Leopoldo II	Milano
433	Manzoni, Alessandro	Fauriel, Claude	Milano
434	Manzoni, Alessandro	Coen, Marco	Milano
435	Manzoni, Alessandro	Leopoldo II	Milano
436	Manzoni, Alessandro	Borghi, Giuseppe	Milano
438	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
439	Manzoni, Alessandro	Rossari, Luigi	Brusuglio
440	Manzoni, Alessandro	Cattaneo, Gaetano	Brusuglio
441	Manzoni, Alessandro	Cattaneo, Gaetano	Gessate
442	Manzoni, Alessandro	Longhi, Pietro	Gessate
443	Manzoni, Alessandro	Challamel, Claude-Pierre	Gessate
444	Manzoni, Alessandro	Leopoldo II	Milano
445	Manzoni, Alessandro	Leopoldo II	Milano
446	Manzoni, Alessandro	Guicciardi, Luigi	Milano
447	Manzoni, Alessandro	Arconati Visconti, Costanza	
448	Manzoni, Alessandro	Manera, Francesco	Milano
449	Manzoni, Alessandro	Appiani Strigelli, Giuseppina	Milano
450	Manzoni, Alessandro	Orlandini, Giovanni	Milano
451	Manzoni, Alessandro	Montgrand, Jean-Baptiste-Jacques-Guy-Therese, marquis de	Milano
452	Manzoni, Alessandro	Manzoni, Vittoria	Milano
453	Manzoni, Alessandro	Bazzoni, Giambattista	Milano
454	Manzoni, Alessandro	Grossi, Tommaso	Brusuglio
